model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
ILM-EKF,inc death,1,RO,61,60,1,1,0.96,0.2,1,1,-0.02,1,5,Romania
LANL-GrowthRate,inc death,1,RO,29,13,12,4,0.44,0.53,0.2,1,-0.22,1,5,Romania
RobertWalraven-ESG,inc death,1,RO,53,9,43,1,0.82,0.85,0.2,0.4,-0.68,1,5,Romania
USC-SIkJalpha,inc death,1,RO,64,29,33,2,1,0.86,0.6,0.8,-0.4,1,5,Romania
epiforecasts-EpiNow2,inc death,1,RO,28,20,0,8,0.44,0.34,0.8,1,0.24,1,5,Romania
EuroCOVIDhub-baseline,inc death,2,RO,155,15,141,0,1,1,0,0.5,-0.95,1,4,Romania
EuroCOVIDhub-ensemble,inc death,2,RO,56,35,21,1,0.36,0.38,0.75,1,-0.32,1,4,Romania
IEM_Health-CovidProject,inc death,2,RO,110,54,50,6,0.7,0.89,0.5,1,-0.38,1,4,Romania
ILM-EKF,inc death,2,RO,78,73,1,4,0.5,0.22,1,1,0.05,1,4,Romania
LANL-GrowthRate,inc death,2,RO,54,25,26,2,0.35,0.39,0.5,1,-0.34,1,4,Romania
RobertWalraven-ESG,inc death,2,RO,149,11,138,0,0.96,0.85,0,0.25,-0.9,1,4,Romania
USC-SIkJalpha,inc death,2,RO,59,33,26,0,0.38,0.3,0.5,0.75,-0.42,1,4,Romania
epiforecasts-EpiNow2,inc death,2,RO,42,26,0,16,0.27,0.29,0.75,1,0.42,1,4,Romania
EuroCOVIDhub-baseline,inc case,1,SE,3150,374,2512,265,1,1,0.2,0.8,-0.36,1,5,Sweden
EuroCOVIDhub-ensemble,inc case,1,SE,3942,2156,1713,73,1.25,1.23,0.8,1,-0.28,1,5,Sweden
IEM_Health-CovidProject,inc case,1,SE,3139,2235,737,167,1,0.84,0.6,1,-0.24,1,5,Sweden
ILM-EKF,inc case,1,SE,2651,1198,806,647,0.84,1.03,0.6,1,-0.06,1,5,Sweden
LANL-GrowthRate,inc case,1,SE,4881,3003,1878,0,1.55,1.8,0.8,1,-0.42,1,5,Sweden
USC-SIkJalpha,inc case,1,SE,4968,2054,2806,109,1.58,1.8,0.6,0.8,-0.4,1,5,Sweden
epiforecasts-EpiNow2,inc case,1,SE,5711,3613,1041,1057,1.81,2.02,0.6,1,0.04,1,5,Sweden
EuroCOVIDhub-baseline,inc case,2,SE,3595,763,2832,0,1,1,0.25,1,-0.75,1,4,Sweden
EuroCOVIDhub-ensemble,inc case,2,SE,3582,2825,755,2,1,0.78,1,1,-0.22,1,4,Sweden
IEM_Health-CovidProject,inc case,2,SE,4928,2783,1938,206,1.37,1.25,0.5,1,-0.32,1,4,Sweden
ILM-EKF,inc case,2,SE,2846,2274,366,207,0.79,0.54,1,1,0.02,1,4,Sweden
LANL-GrowthRate,inc case,2,SE,5431,2976,2455,0,1.51,1.72,0.5,1,-0.5,1,4,Sweden
USC-SIkJalpha,inc case,2,SE,4861,2487,2374,0,1.35,1.68,0.75,1,-0.4,1,4,Sweden
epiforecasts-EpiNow2,inc case,2,SE,5692,4821,419,452,1.58,1.12,1,1,0.02,1,4,Sweden
EuroCOVIDhub-baseline,inc death,1,SE,22,13,3,6,1,1,0.8,1,0.14,1,5,Sweden
EuroCOVIDhub-ensemble,inc death,1,SE,18,14,0,4,0.82,0.65,0.8,1,0.24,1,5,Sweden
IEM_Health-CovidProject,inc death,1,SE,27,16,11,0,1.25,1.47,0.8,1,-0.44,1,5,Sweden
ILM-EKF,inc death,1,SE,26,20,0,6,1.18,0.9,0.8,1,0.22,1,5,Sweden
LANL-GrowthRate,inc death,1,SE,33,6,0,27,1.51,1.49,0.2,0.8,0.69,1,5,Sweden
RobertWalraven-ESG,inc death,1,SE,17,11,5,0,0.77,0.69,0.8,1,-0.3,1,5,Sweden
USC-SIkJalpha,inc death,1,SE,22,18,2,3,1.02,0.63,0.8,1,0.1,1,5,Sweden
epiforecasts-EpiNow2,inc death,1,SE,43,17,0,26,1.97,2.13,0.2,1,0.72,1,5,Sweden
EuroCOVIDhub-baseline,inc death,2,SE,28,23,0,5,1,1,1,1,0.25,1,4,Sweden
EuroCOVIDhub-ensemble,inc death,2,SE,24,19,0,5,0.86,1.05,1,1,0.3,1,4,Sweden
IEM_Health-CovidProject,inc death,2,SE,32,18,14,0,1.15,2.15,0.75,1,-0.45,1,4,Sweden
ILM-EKF,inc death,2,SE,35,25,0,10,1.26,1.93,1,1,0.4,1,4,Sweden
LANL-GrowthRate,inc death,2,SE,31,7,0,23,1.11,1.97,0,1,0.9,1,4,Sweden
RobertWalraven-ESG,inc death,2,SE,20,15,5,1,0.73,1.11,0.75,1,-0.25,1,4,Sweden
USC-SIkJalpha,inc death,2,SE,25,21,0,4,0.89,0.9,1,1,0.28,1,4,Sweden
epiforecasts-EpiNow2,inc death,2,SE,80,36,0,44,2.9,4.75,0.25,1,0.74,1,4,Sweden
EuroCOVIDhub-baseline,inc case,1,SI,575,72,319,184,1,1,0,1,-0.2,1,5,Slovenia
EuroCOVIDhub-ensemble,inc case,1,SI,505,322,123,60,0.88,0.93,0.8,1,-0.14,1,5,Slovenia
IEM_Health-CovidProject,inc case,1,SI,684,484,172,28,1.19,1.25,1,1,-0.26,1,5,Slovenia
ILM-EKF,inc case,1,SI,563,278,191,95,0.98,1.13,0.4,1,-0.24,1,5,Slovenia
LANL-GrowthRate,inc case,1,SI,728,424,304,0,1.27,1.35,0.8,1,-0.38,1,5,Slovenia
USC-SIkJalpha,inc case,1,SI,591,391,120,80,1.03,1.02,0.6,1,-0.24,1,5,Slovenia
epiforecasts-EpiNow2,inc case,1,SI,515,211,55,248,0.9,0.92,0.8,0.8,0.04,1,5,Slovenia
DSMPG-bayes,inc case,1,SI,687,272,91,324,1.03,1.07,0.75,1,0.06,1,4,Slovenia
EuroCOVIDhub-baseline,inc case,2,SI,669,162,508,0,1,1,0.5,1,-0.55,1,4,Slovenia
EuroCOVIDhub-ensemble,inc case,2,SI,816,419,364,33,1.22,1.46,0.5,1,-0.38,1,4,Slovenia
IEM_Health-CovidProject,inc case,2,SI,1030,587,442,0,1.54,1.74,0.5,1,-0.45,1,4,Slovenia
ILM-EKF,inc case,2,SI,869,403,456,11,1.3,1.6,0.25,1,-0.45,1,4,Slovenia
LANL-GrowthRate,inc case,2,SI,1069,491,578,0,1.6,1.86,0.5,1,-0.5,1,4,Slovenia
USC-SIkJalpha,inc case,2,SI,993,347,538,108,1.48,1.22,0.25,0.75,-0.18,1,4,Slovenia
epiforecasts-EpiNow2,inc case,2,SI,654,319,231,104,0.98,1.23,0.25,1,-0.25,1,4,Slovenia
EuroCOVIDhub-baseline,inc death,1,SI,6,2,2,2,1,1,0.2,1,0.1,1,5,Slovenia
EuroCOVIDhub-ensemble,inc death,1,SI,5,3,1,1,0.85,0.91,0.6,1,-0.04,1,5,Slovenia
IEM_Health-CovidProject,inc death,1,SI,7,4,3,1,1.17,1.22,0.6,1,-0.26,1,5,Slovenia
ILM-EKF,inc death,1,SI,9,8,0,1,1.46,0.8,1,1,0.02,1,5,Slovenia
LANL-GrowthRate,inc death,1,SI,4,2,2,0,0.61,0.74,0.6,1,-0.3,1,5,Slovenia
RobertWalraven-ESG,inc death,1,SI,7,2,4,0,1.09,1.15,0.4,1,-0.33,1,5,Slovenia
USC-SIkJalpha,inc death,1,SI,5,2,1,1,0.8,1.09,0.6,1,0,1,5,Slovenia
epiforecasts-EpiNow2,inc death,1,SI,8,3,1,4,1.28,1.48,0.2,1,0.42,1,5,Slovenia
EuroCOVIDhub-baseline,inc death,2,SI,8,5,2,1,1,1,0.75,1,-0.08,1,4,Slovenia
EuroCOVIDhub-ensemble,inc death,2,SI,6,3,3,0,0.85,1,0.75,1,-0.25,1,4,Slovenia
IEM_Health-CovidProject,inc death,2,SI,10,4,7,0,1.34,1.92,0.75,1,-0.55,1,4,Slovenia
ILM-EKF,inc death,2,SI,9,8,1,0,1.22,0.89,1,1,-0.08,1,4,Slovenia
LANL-GrowthRate,inc death,2,SI,7,2,5,0,0.93,1.19,0.5,1,-0.51,1,4,Slovenia
RobertWalraven-ESG,inc death,2,SI,13,3,10,0,1.66,2.08,0.25,0.75,-0.7,1,4,Slovenia
USC-SIkJalpha,inc death,2,SI,8,2,4,2,0.98,1.31,0.25,0.75,-0.1,1,4,Slovenia
epiforecasts-EpiNow2,inc death,2,SI,7,4,0,3,0.87,1.17,0.75,1,0.35,1,4,Slovenia
EuroCOVIDhub-baseline,inc case,1,SK,1355,126,0,1230,1,1,0,1,0.86,1,5,Slovakia
EuroCOVIDhub-ensemble,inc case,1,SK,850,606,0,244,0.63,0.57,0.8,1,0.36,1,5,Slovakia
IEM_Health-CovidProject,inc case,1,SK,1395,1161,0,234,1.03,0.73,1,1,0.24,1,5,Slovakia
ILM-EKF,inc case,1,SK,960,503,0,457,0.71,0.77,0.4,1,0.48,1,5,Slovakia
LANL-GrowthRate,inc case,1,SK,1072,859,211,2,0.79,0.6,1,1,-0.26,1,5,Slovakia
USC-SIkJalpha,inc case,1,SK,1900,679,0,1221,1.4,1.26,0,0.4,0.86,1,5,Slovakia
epiforecasts-EpiExpert,inc case,1,SK,1006,206,87,714,0.74,0.77,0,0.2,0.54,1,5,Slovakia
epiforecasts-EpiNow2,inc case,1,SK,699,377,12,310,0.52,0.58,0.6,1,0.26,1,5,Slovakia
DSMPG-bayes,inc case,1,SK,671,365,0,306,0.79,0.37,0.75,1,0.35,1,4,Slovakia
EuroCOVIDhub-baseline,inc case,2,SK,2741,285,0,2456,1,1,0,0.75,0.93,1,4,Slovakia
EuroCOVIDhub-ensemble,inc case,2,SK,1748,837,0,911,0.64,0.67,0.5,1,0.55,1,4,Slovakia
IEM_Health-CovidProject,inc case,2,SK,2271,1536,0,735,0.83,0.82,0.75,1,0.4,1,4,Slovakia
ILM-EKF,inc case,2,SK,1912,879,0,1033,0.7,0.77,0.5,1,0.55,1,4,Slovakia
LANL-GrowthRate,inc case,2,SK,1388,1040,164,184,0.51,0.47,1,1,-0.02,1,4,Slovakia
USC-SIkJalpha,inc case,2,SK,3509,747,0,2763,1.28,1.04,0,0.5,0.85,1,4,Slovakia
epiforecasts-EpiExpert,inc case,2,SK,2290,336,236,1717,0.84,0.79,0,0.25,0.48,1,4,Slovakia
epiforecasts-EpiNow2,inc case,2,SK,1619,572,3,1044,0.59,0.59,0.5,1,0.45,1,4,Slovakia
EuroCOVIDhub-baseline,inc death,1,SK,58,3,16,39,1,1,0,0.8,-0.12,1,5,Slovakia
EuroCOVIDhub-ensemble,inc death,1,SK,56,20,20,16,0.97,1.29,0.2,1,-0.08,1,5,Slovakia
IEM_Health-CovidProject,inc death,1,SK,59,22,21,17,1.02,1.27,0.2,1,-0.08,1,5,Slovakia
ILM-EKF,inc death,1,SK,64,43,11,9,1.1,1.15,1,1,-0.06,1,5,Slovakia
LANL-GrowthRate,inc death,1,SK,72,7,54,11,1.24,1.19,0.2,0.6,-0.41,1,5,Slovakia
RobertWalraven-ESG,inc death,1,SK,76,9,37,30,1.31,1.42,0,0.4,-0.19,1,5,Slovakia
USC-SIkJalpha,inc death,1,SK,53,24,11,18,0.91,1.28,0.4,1,0.08,1,5,Slovakia
epiforecasts-EpiExpert,inc death,1,SK,69,14,33,22,1.19,1.32,0,0.8,-0.1,1,5,Slovakia
epiforecasts-EpiNow2,inc death,1,SK,64,12,32,20,1.1,1.22,0.2,0.6,-0.04,1,5,Slovakia
EuroCOVIDhub-baseline,inc death,2,SK,91,7,13,71,1,1,0.25,0.75,0.39,1,4,Slovakia
EuroCOVIDhub-ensemble,inc death,2,SK,94,24,28,42,1.03,1.26,0.25,1,0.11,1,4,Slovakia
IEM_Health-CovidProject,inc death,2,SK,99,29,27,43,1.08,1.31,0.25,1,0.11,1,4,Slovakia
ILM-EKF,inc death,2,SK,100,46,23,31,1.1,1.41,0.25,1,0.05,1,4,Slovakia
LANL-GrowthRate,inc death,2,SK,131,11,94,26,1.44,1.41,0,0.5,-0.06,1,4,Slovakia
RobertWalraven-ESG,inc death,2,SK,89,11,42,36,0.97,0.93,0.25,0.5,0.22,1,4,Slovakia
USC-SIkJalpha,inc death,2,SK,117,28,12,78,1.29,1.43,0.5,0.5,0.35,1,4,Slovakia
epiforecasts-EpiExpert,inc death,2,SK,124,17,56,50,1.36,1.34,0.25,0.5,0.28,1,4,Slovakia
epiforecasts-EpiNow2,inc death,2,SK,122,17,46,59,1.34,1.45,0,0.5,0.06,1,4,Slovakia
RobertWalraven-ESG,inc case,1,AT,NA,NA,NA,NA,NA,0.7,0.6,0.8,0.06,1,5,Austria
RobertWalraven-ESG,inc case,2,AT,NA,NA,NA,NA,NA,0.66,0.5,0.75,-0.2,1,4,Austria
UVA-Ensemble,inc case,1,AT,NA,NA,NA,NA,NA,0.77,0.25,1,-0.08,1,4,Austria
RobertWalraven-ESG,inc case,1,BE,NA,NA,NA,NA,NA,0.86,0.2,0.6,-0.07,1,5,Belgium
RobertWalraven-ESG,inc case,2,BE,NA,NA,NA,NA,NA,0.79,0.25,0.5,-0.32,1,4,Belgium
UVA-Ensemble,inc case,1,BE,NA,NA,NA,NA,NA,0.94,0.25,0.5,-0.14,1,4,Belgium
RobertWalraven-ESG,inc case,1,BG,NA,NA,NA,NA,NA,1.22,0,0.4,0.18,1,5,Bulgaria
RobertWalraven-ESG,inc case,2,BG,NA,NA,NA,NA,NA,1.27,0,0,0,1,4,Bulgaria
UVA-Ensemble,inc case,1,BG,NA,NA,NA,NA,NA,1.05,0.25,0.5,0.11,1,4,Bulgaria
RobertWalraven-ESG,inc case,1,CH,NA,NA,NA,NA,NA,2.6,0,0.8,-0.87,1,5,Switzerland
RobertWalraven-ESG,inc case,2,CH,NA,NA,NA,NA,NA,2.54,0,1,-0.88,1,4,Switzerland
UVA-Ensemble,inc case,1,CH,NA,NA,NA,NA,NA,1.47,0,0.5,-0.94,1,4,Switzerland
RobertWalraven-ESG,inc case,1,CY,NA,NA,NA,NA,NA,1.55,0,0.6,-0.21,1,5,Cyprus
RobertWalraven-ESG,inc case,2,CY,NA,NA,NA,NA,NA,1.03,0.5,0.75,0.24,1,4,Cyprus
UVA-Ensemble,inc case,1,CY,NA,NA,NA,NA,NA,1.28,0.25,0.75,-0.52,1,4,Cyprus
RobertWalraven-ESG,inc case,1,CZ,NA,NA,NA,NA,NA,0.98,0.4,1,0.48,1,5,Czechia
RobertWalraven-ESG,inc case,2,CZ,NA,NA,NA,NA,NA,0.89,0.25,1,0.8,1,4,Czechia
UVA-Ensemble,inc case,1,CZ,NA,NA,NA,NA,NA,0.88,0,0.75,0.89,1,4,Czechia
RobertWalraven-ESG,inc case,1,DE,NA,NA,NA,NA,NA,0.95,0,0.8,-0.55,1,5,Germany
UVA-Ensemble,inc case,1,DE,NA,NA,NA,NA,NA,1.42,0,0.4,-0.63,1,5,Germany
HZI-AgeExtendedSEIR,inc case,1,DE,NA,NA,NA,NA,NA,1.03,NA,NA,NA,1,4,Germany
RobertWalraven-ESG,inc case,2,DE,NA,NA,NA,NA,NA,1.39,0.25,0.5,-0.86,1,4,Germany
UVA-Ensemble,inc case,2,DE,NA,NA,NA,NA,NA,1.26,0,0.5,-0.98,1,4,Germany
HZI-AgeExtendedSEIR,inc death,1,DE,NA,NA,NA,NA,NA,1.28,NA,NA,NA,1,4,Germany
RobertWalraven-ESG,inc case,1,DK,NA,NA,NA,NA,NA,0.81,0.6,0.6,-0.3,1,5,Denmark
RobertWalraven-ESG,inc case,2,DK,NA,NA,NA,NA,NA,0.97,0.5,1,-0.48,1,4,Denmark
UVA-Ensemble,inc case,1,DK,NA,NA,NA,NA,NA,0.82,0,0,-0.5,1,4,Denmark
RobertWalraven-ESG,inc case,1,EE,NA,NA,NA,NA,NA,1.2,0,0.6,0.91,1,5,Estonia
RobertWalraven-ESG,inc case,2,EE,NA,NA,NA,NA,NA,1.29,0,0.25,0.99,1,4,Estonia
UVA-Ensemble,inc case,1,EE,NA,NA,NA,NA,NA,1.4,0.25,0.5,0.82,1,4,Estonia
RobertWalraven-ESG,inc case,1,ES,NA,NA,NA,NA,NA,2.57,0.25,1,-0.73,1,4,Spain
UVA-Ensemble,inc case,1,ES,NA,NA,NA,NA,NA,4.88,0,0,-1,1,4,Spain
RobertWalraven-ESG,inc case,1,FI,NA,NA,NA,NA,NA,1.05,0.2,0.6,0.88,1,5,Finland
RobertWalraven-ESG,inc case,2,FI,NA,NA,NA,NA,NA,1.33,0,0.5,0.98,1,4,Finland
UVA-Ensemble,inc case,1,FI,NA,NA,NA,NA,NA,1.07,0,0.5,0.5,1,4,Finland
RobertWalraven-ESG,inc case,1,FR,NA,NA,NA,NA,NA,1.73,0.2,0.4,-0.09,1,5,France
RobertWalraven-ESG,inc case,2,FR,NA,NA,NA,NA,NA,1.31,0,0,-0.5,1,4,France
UVA-Ensemble,inc case,1,FR,NA,NA,NA,NA,NA,1.15,0.25,0.75,-0.12,1,4,France
RobertWalraven-ESG,inc case,1,GB,NA,NA,NA,NA,NA,1.29,0.4,1,-0.13,1,5,United Kingdom
UVA-Ensemble,inc case,1,GB,NA,NA,NA,NA,NA,1.33,0.4,0.8,0.43,1,5,United Kingdom
RobertWalraven-ESG,inc case,2,GB,NA,NA,NA,NA,NA,1.04,0.25,0.75,-0.31,1,4,United Kingdom
UVA-Ensemble,inc case,2,GB,NA,NA,NA,NA,NA,1.08,0.25,0.75,0.85,1,4,United Kingdom
RobertWalraven-ESG,inc case,1,GR,NA,NA,NA,NA,NA,1.14,0.4,0.8,0,1,5,Greece
RobertWalraven-ESG,inc case,2,GR,NA,NA,NA,NA,NA,0.7,0.5,0.75,-0.45,1,4,Greece
UVA-Ensemble,inc case,1,GR,NA,NA,NA,NA,NA,1.03,0.5,0.75,-0.7,1,4,Greece
RobertWalraven-ESG,inc case,1,HR,NA,NA,NA,NA,NA,1.07,0.6,0.8,-0.29,1,5,Croatia
RobertWalraven-ESG,inc case,2,HR,NA,NA,NA,NA,NA,1.05,0.5,1,-0.69,1,4,Croatia
UVA-Ensemble,inc case,1,HR,NA,NA,NA,NA,NA,1.17,0,0,-1,1,4,Croatia
RobertWalraven-ESG,inc case,1,HU,NA,NA,NA,NA,NA,0.82,0.2,0.6,0.27,1,5,Hungary
RobertWalraven-ESG,inc case,2,HU,NA,NA,NA,NA,NA,0.75,0.25,0.75,0.38,1,4,Hungary
UVA-Ensemble,inc case,1,HU,NA,NA,NA,NA,NA,0.86,0.5,0.75,0.05,1,4,Hungary
RobertWalraven-ESG,inc case,1,IE,NA,NA,NA,NA,NA,1.09,0.6,1,-0.3,1,5,Ireland
RobertWalraven-ESG,inc case,2,IE,NA,NA,NA,NA,NA,1.2,1,1,-0.25,1,4,Ireland
UVA-Ensemble,inc case,1,IE,NA,NA,NA,NA,NA,1.24,0.5,0.75,0.01,1,4,Ireland
RobertWalraven-ESG,inc case,1,IS,NA,NA,NA,NA,NA,1.17,0.2,0.6,-0.25,1,5,Iceland
RobertWalraven-ESG,inc case,2,IS,NA,NA,NA,NA,NA,0.81,0.5,0.5,-0.5,1,4,Iceland
UVA-Ensemble,inc case,1,IS,NA,NA,NA,NA,NA,1.53,0,0,-0.5,1,4,Iceland
RobertWalraven-ESG,inc case,1,IT,NA,NA,NA,NA,NA,1.26,0.4,0.6,0.76,1,5,Italy
RobertWalraven-ESG,inc case,2,IT,NA,NA,NA,NA,NA,1.17,0,0.75,0.85,1,4,Italy
UVA-Ensemble,inc case,1,IT,NA,NA,NA,NA,NA,1.01,0.5,0.75,0.45,1,4,Italy
RobertWalraven-ESG,inc case,1,LI,NA,NA,NA,NA,NA,0.87,0.6,0.8,-0.46,1,5,Liechtenstein
RobertWalraven-ESG,inc case,2,LI,NA,NA,NA,NA,NA,1.28,0.75,0.75,-0.62,1,4,Liechtenstein
UVA-Ensemble,inc case,1,LI,NA,NA,NA,NA,NA,0.95,0,0,-1,1,4,Liechtenstein
RobertWalraven-ESG,inc case,1,LT,NA,NA,NA,NA,NA,0.95,0.6,1,-0.48,1,5,Lithuania
RobertWalraven-ESG,inc case,2,LT,NA,NA,NA,NA,NA,1.13,0.75,0.75,-0.62,1,4,Lithuania
UVA-Ensemble,inc case,1,LT,NA,NA,NA,NA,NA,1.27,0,0.25,-0.99,1,4,Lithuania
RobertWalraven-ESG,inc case,1,LU,NA,NA,NA,NA,NA,2.05,0.8,1,-0.59,1,5,Luxembourg
RobertWalraven-ESG,inc case,2,LU,NA,NA,NA,NA,NA,2.11,0.75,1,-0.58,1,4,Luxembourg
UVA-Ensemble,inc case,1,LU,NA,NA,NA,NA,NA,1.52,0.25,0.25,-0.88,1,4,Luxembourg
RobertWalraven-ESG,inc case,1,LV,NA,NA,NA,NA,NA,1.14,0.6,0.8,0.29,1,5,Latvia
RobertWalraven-ESG,inc case,2,LV,NA,NA,NA,NA,NA,1.1,0.75,1,0.08,1,4,Latvia
UVA-Ensemble,inc case,1,LV,NA,NA,NA,NA,NA,0.85,0.75,1,0.32,1,4,Latvia
RobertWalraven-ESG,inc case,1,MT,NA,NA,NA,NA,NA,1.28,0.2,0.6,0.53,1,5,Malta
RobertWalraven-ESG,inc case,2,MT,NA,NA,NA,NA,NA,1.12,0,0.25,0.99,1,4,Malta
UVA-Ensemble,inc case,1,MT,NA,NA,NA,NA,NA,1.28,0.25,0.25,0.88,1,4,Malta
RobertWalraven-ESG,inc case,1,NL,NA,NA,NA,NA,NA,0.95,0.2,0.8,-0.03,1,5,Netherlands
RobertWalraven-ESG,inc case,2,NL,NA,NA,NA,NA,NA,0.94,0,0.75,-0.39,1,4,Netherlands
UVA-Ensemble,inc case,1,NL,NA,NA,NA,NA,NA,0.67,0.25,0.5,-0.82,1,4,Netherlands
RobertWalraven-ESG,inc case,1,NO,NA,NA,NA,NA,NA,1.08,0,1,0.19,1,5,Norway
RobertWalraven-ESG,inc case,2,NO,NA,NA,NA,NA,NA,0.91,0.25,0.5,0.36,1,4,Norway
UVA-Ensemble,inc case,1,NO,NA,NA,NA,NA,NA,1.13,0.25,0.75,0.31,1,4,Norway
RobertWalraven-ESG,inc case,1,Overall,NA,NA,NA,NA,NA,1.22,0.31,0.76,-0.05,32,159,Overall
UVA-Ensemble,inc case,1,Overall,NA,NA,NA,NA,NA,1.23,0.21,0.53,-0.19,32,131,Overall
RobertWalraven-ESG,inc case,2,Overall,NA,NA,NA,NA,NA,1.14,0.33,0.69,-0.14,32,127,Overall
UVA-Ensemble,inc case,2,Overall,NA,NA,NA,NA,NA,1.16,0.1,0.37,-0.24,32,99,Overall
RobertWalraven-ESG,inc case,1,PL,NA,NA,NA,NA,NA,0.9,0,0.8,-0.15,1,5,Poland
UVA-Ensemble,inc case,1,PL,NA,NA,NA,NA,NA,0.75,0.2,1,-0.45,1,5,Poland
RobertWalraven-ESG,inc case,2,PL,NA,NA,NA,NA,NA,0.85,0,0,-0.5,1,4,Poland
UVA-Ensemble,inc case,2,PL,NA,NA,NA,NA,NA,1.1,0,0.25,-0.51,1,4,Poland
RobertWalraven-ESG,inc case,1,PT,NA,NA,NA,NA,NA,2.17,0.6,0.8,-0.69,1,5,Portugal
RobertWalraven-ESG,inc case,2,PT,NA,NA,NA,NA,NA,1.33,0.75,1,-0.61,1,4,Portugal
UVA-Ensemble,inc case,1,PT,NA,NA,NA,NA,NA,1.27,0.25,0.75,0.12,1,4,Portugal
RobertWalraven-ESG,inc case,1,RO,NA,NA,NA,NA,NA,0.96,0.2,0.6,0.18,1,5,Romania
RobertWalraven-ESG,inc case,2,RO,NA,NA,NA,NA,NA,0.97,0.25,0.75,-0.1,1,4,Romania
UVA-Ensemble,inc case,1,RO,NA,NA,NA,NA,NA,0.82,0.5,1,-0.04,1,4,Romania
RobertWalraven-ESG,inc case,1,SE,NA,NA,NA,NA,NA,1.56,0.6,0.8,-0.66,1,5,Sweden
RobertWalraven-ESG,inc case,2,SE,NA,NA,NA,NA,NA,1.85,0.5,0.75,-0.7,1,4,Sweden
UVA-Ensemble,inc case,1,SE,NA,NA,NA,NA,NA,1.4,0.25,0.5,-0.58,1,4,Sweden
RobertWalraven-ESG,inc case,1,SI,NA,NA,NA,NA,NA,1.17,0.2,0.8,-0.21,1,5,Slovenia
RobertWalraven-ESG,inc case,2,SI,NA,NA,NA,NA,NA,1.81,0.25,1,-0.55,1,4,Slovenia
UVA-Ensemble,inc case,1,SI,NA,NA,NA,NA,NA,1.13,0,0.25,-0.95,1,4,Slovenia
RobertWalraven-ESG,inc case,1,SK,NA,NA,NA,NA,NA,0.83,0.2,1,0.6,1,5,Slovakia
RobertWalraven-ESG,inc case,2,SK,NA,NA,NA,NA,NA,0.69,0.25,1,0.8,1,4,Slovakia
UVA-Ensemble,inc case,1,SK,NA,NA,NA,NA,NA,1.47,0,0.25,0.99,1,4,Slovakia
