weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-ensemble,inc case,4,CZ,1.04,0.68,0.81,0.33,1,0.65,6,1,Czechia
10,epiforecasts-EpiNow2,inc case,4,CZ,1.07,0.77,0.69,0,0.75,0.88,4,1,Czechia
10,epiforecasts-tsensemble,inc case,4,CZ,1.15,0.79,0.7,0.25,0.75,0.82,4,1,Czechia
10,epiforecasts-weeklygrowth,inc case,4,CZ,0.59,0.51,0.45,0.25,1,0.62,4,1,Czechia
10,fjordhest-ensemble,inc case,4,CZ,1.06,0.7,0.84,0.2,1,0.76,5,1,Czechia
10,EuroCOVIDhub-baseline,inc death,1,CZ,1,1,1,1,1,0.21,8,1,Czechia
10,EuroCOVIDhub-ensemble,inc death,1,CZ,0.63,0.61,0.63,1,1,0.24,8,1,Czechia
10,fjordhest-ensemble,inc death,1,CZ,0.55,0.41,0.39,0.71,1,0.46,7,1,Czechia
10,EuroCOVIDhub-baseline,inc death,2,CZ,1,1,1,1,1,0.2,7,1,Czechia
10,EuroCOVIDhub-ensemble,inc death,2,CZ,0.81,0.63,0.64,1,1,0.27,7,1,Czechia
10,fjordhest-ensemble,inc death,2,CZ,0.77,0.48,0.46,0.67,1,0.58,6,1,Czechia
10,EuroCOVIDhub-baseline,inc death,3,CZ,1,1,1,1,1,0.2,6,1,Czechia
10,EuroCOVIDhub-ensemble,inc death,3,CZ,0.81,0.61,0.63,0.83,1,0.32,6,1,Czechia
10,fjordhest-ensemble,inc death,3,CZ,0.78,0.51,0.49,0.4,1,0.62,5,1,Czechia
10,EuroCOVIDhub-baseline,inc death,4,CZ,1,1,1,1,1,0.2,5,1,Czechia
10,EuroCOVIDhub-ensemble,inc death,4,CZ,0.84,0.6,0.62,1,1,0.36,5,1,Czechia
10,fjordhest-ensemble,inc death,4,CZ,0.85,0.53,0.51,0.25,1,0.68,4,1,Czechia
10,EuroCOVIDhub-baseline,inc hosp,3,CZ,1,1,1,0.89,1,0.31,9,1,Czechia
10,EuroCOVIDhub-ensemble,inc hosp,3,CZ,0.92,0.83,0.85,0.5,1,0.58,8,1,Czechia
10,epiforecasts-EpiNow2,inc hosp,3,CZ,0.43,0.53,0.52,0.67,1,0.4,6,1,Czechia
10,epiforecasts-tsensemble,inc hosp,3,CZ,1.19,1.3,1.3,0,0.62,0.89,8,1,Czechia
10,epiforecasts-weeklygrowth,inc hosp,3,CZ,0.81,0.98,0.97,0.33,1,0.65,6,1,Czechia
10,EuroCOVIDhub-baseline,inc hosp,2,CZ,1,1,1,0.89,1,0.34,9,1,Czechia
10,EuroCOVIDhub-ensemble,inc hosp,2,CZ,0.88,0.76,0.76,0.56,1,0.51,9,1,Czechia
10,epiforecasts-EpiNow2,inc hosp,2,CZ,0.39,0.47,0.47,0.71,1,0.17,7,1,Czechia
10,epiforecasts-tsensemble,inc hosp,2,CZ,1.13,1.17,1.16,0.22,0.67,0.77,9,1,Czechia
10,epiforecasts-weeklygrowth,inc hosp,2,CZ,0.76,0.82,0.82,0.43,1,0.54,7,1,Czechia
10,EuroCOVIDhub-baseline,inc hosp,1,CZ,1,1,1,0.89,1,0.34,9,1,Czechia
10,EuroCOVIDhub-ensemble,inc hosp,1,CZ,0.8,0.69,0.7,0.67,1,0.44,9,1,Czechia
10,epiforecasts-EpiNow2,inc hosp,1,CZ,0.33,0.43,0.43,0.62,1,-0.01,8,1,Czechia
10,epiforecasts-tsensemble,inc hosp,1,CZ,1.1,1.1,1.09,0.33,0.67,0.72,9,1,Czechia
10,EuroCOVIDhub-baseline,inc hosp,4,CZ,1,1,1,0.88,1,0.36,8,1,Czechia
10,EuroCOVIDhub-ensemble,inc hosp,4,CZ,0.93,0.9,0.93,0.29,1,0.66,7,1,Czechia
10,epiforecasts-EpiNow2,inc hosp,4,CZ,0.54,0.63,0.62,0.6,1,0.58,5,1,Czechia
